Elapsed time,Overall Response Times
05:00:10.0,56.72222222222223
05:00:10.500,72.61538461538461
05:00:13.0,19.0
05:00:15.0,129.0
05:00:16.500,142.0
05:00:18.0,30.5
05:00:18.500,203.0
05:00:19.500,734.0
05:00:20.0,211.5
05:00:20.500,9909.5
05:00:21.0,5981.5
05:00:21.500,10663.0
05:00:24.0,212.66666666666666
05:00:24.500,277.0
05:00:25.0,312.0
05:00:25.500,73.25
05:00:26.0,27.5
05:00:27.0,1209.0
05:00:29.500,160.0
05:00:30.0,202.0
05:00:30.500,2035.3333333333333
05:00:31.500,1232.0
05:00:32.500,21.0
05:00:33.0,100.0
05:00:33.500,17.0
05:00:34.0,141.33333333333334
05:00:35.0,7510.5
05:00:36.0,48.0
05:00:36.500,65.5
05:00:37.0,56.5
05:00:37.500,613.0
05:00:38.0,127.0
05:00:38.500,132.0
05:00:39.0,112.5
05:00:39.500,84.0
05:00:40.0,2564.0
05:00:40.500,604.0
05:00:41.500,648.0
05:00:42.0,255.5
05:00:42.500,4876.75
05:00:43.0,1328.0
05:00:45.0,1777.0
05:00:45.500,15005.0
05:00:46.0,167.0
05:00:46.500,8239.0
05:00:47.0,484.0
05:00:47.500,7822.5
05:00:48.500,452.0
05:00:49.500,223.0
05:00:50.0,627.0
05:00:50.500,308.0
05:00:51.0,330.0
05:00:52.0,573.5
05:00:53.0,965.0
05:00:54.500,8313.5
05:00:55.0,57.5
05:00:55.500,24.0
05:00:56.0,13.0
05:00:56.500,20.0
05:00:57.0,21.0
05:00:57.500,57.0
05:00:58.0,56.0
05:00:58.500,21.0
05:01:00.500,774.0
05:01:01.500,64.5
05:01:02.0,7877.5
05:01:02.500,15000.0
05:01:03.500,1052.0
05:01:04.0,14999.0
05:01:04.500,109.0
05:01:06.0,673.0
05:01:06.500,397.0
05:01:07.0,247.0
05:01:07.500,662.0
05:01:08.0,364.0
05:01:09.0,540.0
05:01:13.0,266.0
05:01:13.500,296.0
05:01:14.500,102.0
05:01:16.0,143.0
05:01:16.500,7596.0
05:01:17.0,2534.6666666666665
05:01:17.500,257.0
05:01:19.500,137.66666666666666
05:01:20.0,571.0
05:01:21.0,107.0
05:01:22.0,609.6666666666666
05:01:22.500,21058.0
05:01:23.0,186.33333333333334
05:01:23.500,916.0
05:01:24.0,91.57142857142857
05:01:24.500,50.333333333333336
05:01:25.0,478.5
05:01:25.500,91.0
05:01:26.0,160.2
05:01:26.500,147.66666666666666
05:01:27.0,39.0
05:01:27.500,120.0
05:01:28.0,26.0
05:01:28.500,10.0
05:01:29.0,32.0
05:01:29.500,468.0
05:01:30.0,435.6666666666667
05:01:30.500,43.75
05:01:31.500,38.666666666666664
05:01:32.500,15008.5
05:01:33.0,219.0
05:01:33.500,11.0
05:01:34.500,156.0
05:01:35.0,21098.0
05:01:36.0,120.0
05:01:36.500,2614.5
05:01:37.0,112.5
05:01:37.500,54.75
05:01:38.0,46.333333333333336
05:01:38.500,43.0
05:01:39.0,155.0
05:01:40.0,136.0
05:01:40.500,110.66666666666667
05:01:41.0,87.5
05:01:41.500,22.0
05:01:43.0,5149.0
05:01:44.0,7786.5
05:01:44.500,345.0
05:01:45.0,3200.6
05:01:45.500,265.0
05:01:46.0,190.0
05:01:46.500,18.0
05:01:47.0,20.0
05:01:47.500,319.0
05:01:48.0,226.66666666666666
05:01:48.500,644.5
05:01:49.500,20.0
05:01:50.0,376.6666666666667
05:01:51.0,507.0
05:01:51.500,18.0
05:01:52.0,538.5
05:01:52.500,133.5
05:01:53.0,284.0
05:01:53.500,558.5
05:01:57.0,102.0
05:01:58.500,91.0
05:01:59.500,442.0
05:02:00.0,16.0
05:02:01.0,153.66666666666666
05:02:01.500,779.0
05:02:02.0,109.5
05:02:02.500,240.0
05:02:03.0,49.0
05:02:03.500,184.33333333333334
05:02:05.0,1612.0
05:02:06.500,325.5
05:02:07.0,95.2
05:02:08.0,38.0
05:02:09.0,125.66666666666667
05:02:10.0,14999.0
05:02:12.0,969.5
05:02:12.500,69.0
05:02:13.500,413.6666666666667
